IndividualNum,FID,IID,PAT,MAT,SEX,PHENOTYPE,seed01,seed02,FeatureNum,SizeNum,OutliersFraction,Class_true,pred_lof,pred_KNN_lar,pred_IForest,pred_vote
411,LT,LT8,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
412,LT,LT9,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
413,LT,LT10,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
414,LT,LT11,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
432,LT,LT30,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
415,LT,LT12,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
416,LT,LT13,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
429,LT,LT27,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
428,LT,LT26,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
427,LT,LT25,0,0,1,-9,6331,16331,2,4,0.15,-1,1,1,1,1
426,LT,LT24,0,0,2,-9,6331,16331,2,4,0.15,-1,1,1,1,1
448,LWT,LWT1_15_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
447,LWT,LWT1_14_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
503,LWT,LWT4_76_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
494,LWT,LWT4_65_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
490,LWT,LWT4_61_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
506,LWT,LWT4_80_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
464,LWT,LWT2_27_J,0,0,1,17,6331,16331,2,4,0.15,1,1,1,1,1
463,LWT,LWT2_26_J,0,0,1,17,6331,16331,2,4,0.15,1,1,1,1,1
460,LWT,LWT2_23_J,0,0,2,17,6331,16331,2,4,0.15,1,1,1,1,1
457,LWT,LWT2_15_J,0,0,2,17,6331,16331,2,4,0.15,1,1,1,1,1
453,LWT,LWT2_4_J,0,0,1,17,6331,16331,2,4,0.15,1,1,1,1,1
449,LWT,LWT1_16_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
438,LWT,LWT1_5_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
475,LWT,LWT3_24_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
442,LWT,LWT1_9_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
514,MGZ,MGZ05,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
520,MGZ,MGZ12,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
527,MGZ,MGZ19,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
533,MGZ,MGZ25,0,0,1,-9,6331,16331,2,4,0.15,1,1,1,1,1
534,MGZ,MGZ26,0,0,1,-9,6331,16331,2,4,0.15,1,1,1,1,1
541,MGZ,MGZ34,0,0,2,-9,6331,16331,2,4,0.15,1,1,1,1,1
565,PIT,PIT2_35_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
598,PIT,PIT3_16_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
578,PIT,PIT2_50_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
585,PIT,PIT3_3_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
580,PIT,PIT2_53_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
579,PIT,PIT2_51_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
547,PIT,PIT1_6_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
553,PIT,PIT1_15_W,0,0,0,-9,6331,16331,2,4,0.15,1,1,1,1,1
